County,2000,2010,2020,2025,2030,2035,2040,Number,Percent
Alabama,"4,447,100","4,779,736","4,940,253","5,030,870","5,124,380","5,220,527","5,319,305","539,569",11.3
Autauga,"43,671","54,571","56,705","58,464","60,327","62,488","64,771","10,200",18.7
Baldwin,"140,415","182,265","222,554","242,345","261,777","281,200","300,899","118,634",65.1
Barbour,"29,038","27,457","25,633","24,891","24,288","23,902","23,634","-3,823",-13.9
Bibb,"20,826","22,915","22,354","22,174","22,023","21,932","21,885","-1,030",-4.5
Blount,"51,024","57,322","58,383","59,154","59,995","61,064","62,095","4,773",8.3
Bullock,"11,714","10,914","10,637","10,528","10,414","10,331","10,271",-643,-5.9
Butler,"21,399","20,947","19,690","19,233","18,909","18,706","18,558","-2,389",-11.4
Calhoun,"112,249","118,572","114,221","113,195","112,529","112,025","111,723","-6,849",-5.8
Chambers,"36,583","34,215","33,918","33,709","33,485","33,313","33,147","-1,068",-3.1
Cherokee,"23,988","25,989","25,835","25,778","25,709","25,637","25,573",-416,-1.6
Chilton,"39,593","43,643","44,308","44,793","45,388","46,119","46,953","3,310",7.6
Choctaw,"15,922","13,859","12,475","11,786","11,167","10,639","10,185","-3,674",-26.5
Clarke,"27,867","25,833","23,759","22,867","21,995","21,169","20,414","-5,419",-21.0
Clay,"14,254","13,932","13,233","12,928","12,639","12,374","12,142","-1,790",-12.8
Cleburne,"14,123","14,972","15,104","15,187","15,278","15,374","15,464",492,3.3
Coffee,"43,615","49,948","52,318","53,663","55,104","56,661","58,469","8,521",17.1
Colbert,"54,984","54,428","54,281","54,026","53,707","53,315","52,890","-1,538",-2.8
Conecuh,"14,089","13,228","12,157","11,647","11,195","10,802","10,470","-2,758",-20.8
Coosa,"12,202","11,539","10,193","9,717","9,281","8,883","8,523","-3,016",-26.1
Covington,"37,631","37,765","37,925","37,994","38,044","38,083","38,096",331,0.9
Crenshaw,"13,665","13,906","14,017","14,081","14,150","14,230","14,315",409,2.9
